tconst,directors
tt0000005,nm0005690
tt0000010,nm0525910
tt0000012,"nm0525910,nm0525908"
tt0000070,nm0525910
tt0000132,nm0617588
tt0000228,nm0349785
tt0000274,nm0349785
tt0000286,nm0349785
tt0000417,nm0617588
tt0000439,nm0692105
tt0000614,"nm0159015,nm0954087"
tt0000969,nm0085865
tt0001680,nm0000428
tt0002221,nm0823088
tt0002983,nm0349785
tt0003540,nm0641967
tt0003665,nm0000428
tt0003740,nm0665163
tt0003934,nm0784407
tt0004150,nm0193327
tt0004325,"nm0806565,nm0916665"
tt0004743,nm0198523
tt0004803,nm0624735
tt0004873,nm0950148
tt0004972,nm0000428
tt0005059,nm0001124
tt0005131,nm0011840
tt0005339,nm0288616
tt0005809,nm0507150
tt0006864,nm0000428
tt0006886,nm0275421
tt0007154,nm0853336
tt0007309,nm0523932
tt0007340,nm0916665
tt0007522,nm0830249
tt0007640,nm0569261
tt0007646,nm0188105
tt0007755,nm0000406
tt0007801,nm0250053
tt0007841,nm0226992
tt0007881,nm0154267
tt0007998,nm0210352
tt0008031,nm0127511
tt0008122,nm0607378
tt0008305,nm0515979
tt0008411,"nm0413045,nm0923603,nm0923594"
tt0008523,"nm0000779,nm0000036"
tt0008663,nm0803705
tt0008687,nm0853336
tt0008754,nm0154352
tt0008845,"nm0001196,nm0662032"
tt0008993,nm0502752
tt0009116,nm0377126
tt0009145,nm0392709
tt0009325,nm0569645
tt0009608,nm0662032
tt0009682,nm0796657
tt0009694,nm0830249
tt0009717,nm0048478
tt0009852,nm0223460
tt0009862,"nm0550892,nm0738082"
tt0009878,nm0652650
tt0009905,nm0275421
tt0009955,"nm0168503,nm0168504,nm0813682"
tt0009968,nm0000428
tt0010000,nm0245385
tt0010137,nm0001124
tt0010146,"nm0332531,nm0730018"
tt0010219,nm0190516
tt0010323,nm0927468
tt0010600,nm0523932
tt0010791,nm0941782
tt0010871,nm0783369
tt0010969,nm0275494
tt0011237,"nm0917467,nm0091380"
tt0011302,nm0478303
tt0011650,nm0550892
tt0011651,nm0385171
tt0011732,nm0127511
tt0011756,nm0385171
tt0011841,nm0000428
tt0011870,nm0584778
tt0011904,nm0941637
tt0011948,nm0511729
tt0012017,nm0073239
tt0012225,nm0534288
tt0012249,"nm0769942,nm0300544"
tt0012349,nm0000122
tt0012364,nm0803705
tt0012494,nm0000485
tt0012538,nm0115218
tt0012675,nm0577654
tt0012709,nm0377126
tt0012740,nm0251456
tt0012929,nm0743715
tt0013025,"nm0166836,nm0000036"
tt0013086,nm0000485
tt0013122,nm0217526
tt0013201,nm0628345
tt0013284,nm0721840
tt0013367,nm0454535
tt0013427,nm0280904
tt0013442,nm0003638
tt0013571,"nm0117065,nm0623417"
tt0013626,nm0241273
tt0013830,nm0243295
tt0013891,nm0132926
tt0014209,nm0385171
tt0014262,nm0002209
tt0014308,nm0665737
tt0014400,nm0102908
tt0014416,"nm0523932,nm0909825"
tt0014417,nm0304098
tt0014424,nm0373511
tt0014451,nm0341486
tt0014532,nm0001124
tt0014538,"nm0166836,nm0000036"
tt0014586,"nm0083532,nm0501902"
tt0014641,nm0781292
tt0014667,nm0250034
tt0014699,nm0886754
tt0014797,"nm0341185,nm0385642"
tt0014972,nm0803705
tt0015016,nm0000406
tt0015036,nm0901502
tt0015039,nm0895048
tt0015052,nm0721840
tt0015064,nm0003638
tt0015069,nm0408937
tt0015109,nm0102908
tt0015167,nm0474487
tt0015174,nm0000485
tt0015202,nm0927468
tt0015263,nm0689471
tt0015284,nm0286379
tt0015324,nm0000036
tt0015361,nm0001178
tt0015416,nm0247484
tt0015532,"nm0718201,nm0002569"
tt0015624,"nm0384276,nm0896542"
tt0015635,nm0250034
tt0015648,nm0001178
tt0015685,nm0736610
tt0015692,nm0245385
tt0015745,nm0191899
tt0015835,"nm0409949,nm0882160"
tt0015842,nm0655065
tt0015864,nm0000122
tt0015881,nm0002233
tt0015916,nm0250034
tt0015944,nm0383304
tt0016039,nm0398464
tt0016141,nm0317200
tt0016142,nm0115218
tt0016157,nm0245385
tt0016174,nm0166836
tt0016196,nm0926669
tt0016220,"nm0432216,nm0151606,nm0480677,nm0781292"
tt0016241,nm0068419
tt0016283,nm0250034
tt0016368,nm0408937
tt0016407,"nm0782707,nm0071560"
tt0016473,nm0115218
tt0016491,nm0275494
tt0016526,nm0807742
tt0016544,nm0783865
tt0016618,nm0416258
tt0016641,"nm0102643,nm0127511,nm0169905,nm0629243,nm0002271"
tt0016665,nm0403636
tt0016804,nm0189076
tt0016811,nm0242412
tt0016847,nm0003638
tt0016880,nm0054977
tt0016884,nm0113284
tt0016906,nm0136068
tt0016939,nm0782597
tt0016953,"nm0266691,nm0726166"
tt0017009,"nm0247484,nm0562845"
tt0017048,nm0455938
tt0017064,nm0461295
tt0017075,nm0000033
tt0017103,nm0002271
tt0017114,nm0749484
