tconst,averageRating,numVotes
tt0000005,6.2,2604
tt0000010,6.9,7098
tt0000012,7.4,12175
tt0000070,6.4,2636
tt0000132,5.1,1063
tt0000228,4.9,278
tt0000274,5.6,255
tt0000286,5.7,260
tt0000417,8.2,51902
tt0000439,7.3,19886
tt0000456,4.0,63
tt0000614,6.5,1112
tt0000969,6.4,25
tt0001680,5.1,628
tt0002221,6.7,463
tt0002983,6.0,523
tt0003540,5.5,45
tt0003665,6.2,100
tt0003740,7.1,3715
tt0003934,5.4,1017
tt0004150,5.9,512
tt0004325,5.4,34
tt0004743,5.6,174
tt0004873,6.1,548
tt0004972,6.2,25328
tt0005059,6.5,137
tt0005339,5.7,978
tt0005809,6.7,324
tt0006864,7.7,16001
tt0006886,7.2,1067
tt0007309,5.6,261
tt0007340,6.9,667
tt0007522,5.7,178
tt0007646,7.4,65
tt0007755,6.1,614
tt0007801,6.6,370
tt0007998,6.9,28
tt0008031,5.4,25
tt0008122,6.8,46
tt0008305,6.7,36
tt0008411,6.1,40
tt0008523,5.6,1422
tt0008663,7.3,2172
tt0008687,6.2,182
tt0008845,6.0,24
tt0009145,6.0,106
tt0009325,5.6,33
tt0009608,5.6,741
tt0009682,5.8,872
tt0009694,6.3,111
tt0009852,6.7,14
tt0009878,7.0,1378
tt0009905,7.7,106
tt0009968,7.2,10653
tt0010137,5.9,743
tt0010146,6.9,1102
tt0010219,5.0,400
tt0010323,8.0,66008
tt0010600,7.4,2203
tt0010791,6.4,90
tt0010871,4.7,35
tt0010969,6.7,410
tt0011237,7.2,8031
tt0011302,6.8,251
tt0011651,7.0,63
tt0011756,6.7,32
tt0011841,7.4,5671
tt0011870,6.4,3341
tt0011904,6.8,1275
tt0011948,6.8,449
tt0012017,6.6,56
tt0012249,7.0,490
tt0012349,8.3,128421
tt0012364,8.0,13158
tt0012494,7.6,6306
tt0012538,6.5,669
tt0012675,6.2,3508
tt0012740,5.5,73
tt0013025,7.6,6523
tt0013086,7.8,8733
tt0013122,6.5,258
tt0013201,7.0,1937
tt0013284,6.7,40
tt0013367,5.3,310
tt0013427,7.6,12812
tt0013442,7.9,100006
tt0013571,6.6,1057
tt0013626,6.6,2706
tt0013830,7.1,225
tt0013891,5.4,13
tt0014262,7.0,19
tt0014416,6.4,432
tt0014417,7.5,2389
tt0014451,5.0,13
tt0014532,6.8,2388
tt0014538,7.0,4673
tt0014586,6.6,2169
tt0014667,6.3,151
tt0014699,5.4,12
tt0014797,6.3,68
tt0014972,7.8,4001
tt0015016,7.2,2305
tt0015036,6.6,182
tt0015039,6.9,1142
tt0015064,8.0,14487
tt0015167,6.5,1058
tt0015174,7.9,4700
tt0015202,7.0,3125
tt0015263,6.2,58
tt0015284,6.5,94
tt0015324,8.2,51698
tt0015361,7.6,8260
tt0015532,7.8,6460
tt0015624,7.9,6962
tt0015635,6.2,81
tt0015648,7.9,59141
tt0015745,7.0,39
tt0015842,7.1,1641
tt0015864,8.1,113127
tt0015881,8.1,10291
tt0015916,6.6,208
tt0016039,7.0,5490
tt0016142,6.2,145
tt0016174,2.2,182
tt0016220,7.5,19045
tt0016241,5.1,259
tt0016283,7.1,68
tt0016368,6.5,26
tt0016473,7.2,2025
tt0016491,7.6,895
tt0016526,7.2,73
tt0016544,4.9,1668
tt0016618,5.0,13
tt0016641,7.8,7743
tt0016804,7.0,850
tt0016847,8.1,15771
tt0016884,7.6,4424
tt0016906,5.6,22
tt0016939,6.4,365
tt0016953,6.6,866
tt0017009,7.3,12
tt0017048,7.4,4020
tt0017075,7.3,12486
tt0017103,6.7,781
tt0017128,7.5,2934
tt0017136,8.3,177080
tt0017137,7.2,124
tt0017321,4.5,33
tt0017376,7.2,556
tt0017405,6.0,544
tt0017416,6.6,2034
tt0017421,6.1,29
tt0017492,6.9,91
tt0017527,5.2,14
tt0017567,7.0,895
tt0017584,6.8,129
tt0017668,7.6,4558
tt0017683,6.0,16
tt0017726,6.3,155
tt0017735,6.8,325
tt0017739,7.1,3130
tt0017883,6.0,18
tt0017925,8.1,93190
tt0017954,6.1,151
tt0017970,6.2,15
tt0018033,7.2,3360
tt0018037,6.4,10448
tt0018054,7.4,2248
tt0018087,7.2,831
tt0018183,7.5,902
tt0018192,8.2,8089
tt0018199,6.1,129
tt0018217,7.4,8099
tt0018243,6.0,32
tt0018311,6.8,1474
tt0018368,6.8,791
tt0018381,6.9,31
tt0018455,8.1,52046
tt0018469,6.4,9
tt0018524,6.8,470
tt0018525,2.5,185
tt0018526,7.5,3237
tt0018548,6.9,19
tt0018578,7.6,13548
tt0018588,6.7,274
tt0018622,6.9,27
tt0018638,6.9,36
tt0018662,6.4,13
tt0018674,7.1,116
tt0018696,7.7,16
tt0018727,6.2,18
tt0018737,7.8,11213
tt0018742,8.0,12204
tt0018748,5.0,40
tt0018753,6.8,16
tt0018770,7.3,4171
tt0018773,8.1,34618
tt0018839,7.5,4736
tt0018867,5.6,35
tt0018876,5.8,2965
tt0018880,5.3,18
tt0018890,7.2,1294
tt0018987,5.6,27
tt0018996,6.1,177
tt0019023,5.5,19
tt0019041,6.8,11
tt0019071,8.0,4180
tt0019130,7.7,7348
tt0019144,5.7,26
tt0019182,5.4,171
tt0019237,6.7,1883
tt0019254,8.2,56705
tt0019286,7.0,2207
tt0019388,6.3,254
tt0019403,7.5,825
tt0019415,7.5,3740
tt0019422,7.5,9880
tt0019474,3.8,46
tt0019489,7.0,423
tt0019504,7.2,1486
tt0019553,6.9,199
tt0019557,6.1,514
tt0019558,7.4,1816
tt0019562,5.2,20
tt0019582,5.1,20
tt0019607,6.6,1202
