tconst,titleType,startYear,endYear,runtimeMinutes,genres
tt0000005,short,1893,,1,"Comedy,Short"
tt0000010,short,1895,,1,"Documentary,Short"
tt0000012,short,1896,,1,"Documentary,Short"
tt0000070,short,1896,,1,"Documentary,Short"
tt0000132,short,1896,,1,"Biography,Short"
tt0000228,short,1899,,1,Short
tt0000274,short,1900,,1,"Comedy,Short"
tt0000286,short,1900,,2,"Comedy,Short"
tt0000417,short,1902,,13,"Action,Adventure,Comedy"
tt0000439,short,1903,,11,"Action,Adventure,Crime"
tt0000456,short,1903,,,"Documentary,Short"
tt0000614,short,1907,,9,"Fantasy,Horror,Short"
tt0000969,short,1909,,44,"Drama,History,Short"
tt0001680,short,1911,,14,"Drama,Short,War"
tt0002221,short,1913,,5,"Animation,Fantasy,Short"
tt0002983,short,1913,,13,"Comedy,Family,Short"
tt0003540,short,1913,,19,Short
tt0003665,movie,1914,,50,Drama
tt0003740,movie,1914,,148,"Adventure,Drama,History"
tt0003934,short,1914,,18,"Comedy,Short"
tt0004150,movie,1914,,65,"Drama,History"
tt0004325,movie,1914,,,Drama
tt0004743,movie,1914,,54,Drama
tt0004803,movie,1914,,,Western
tt0004873,movie,1915,,52,"Adventure,Family,Fantasy"
tt0004972,movie,1915,,195,"Drama,War"
tt0005059,movie,1915,,50,"Drama,Romance,War"
tt0005131,movie,1915,,,"Drama,War"
tt0005339,movie,1915,,67,Drama
tt0005809,movie,1915,,50,Drama
tt0006864,movie,1916,,163,"Drama,History"
tt0006886,movie,1916,,300,"Adventure,Crime"
tt0007154,movie,1916,,50,"Action,Romance,Western"
tt0007309,movie,1916,,45,Comedy
tt0007340,movie,1916,,60,Drama
tt0007522,movie,1916,,69,Drama
tt0007640,movie,1917,,50,Drama
tt0007646,movie,1917,,70,"Animation,Comedy,Drama"
tt0007755,movie,1917,,53,Western
tt0007801,movie,1917,,125,"Biography,Drama,History"
tt0007841,movie,1917,,50,"Comedy,Drama"
tt0007881,movie,1917,,50,"Crime,Drama"
tt0007998,movie,1917,,50,"Comedy,Thriller"
tt0008031,movie,1917,,,"Action,Adventure"
tt0008122,movie,1916,,50,"Comedy,Drama"
tt0008305,movie,1917,,100,Drama
tt0008411,movie,1917,,310,"Action,Drama"
tt0008523,short,1917,,19,"Comedy,Short"
tt0008663,movie,1917,,65,"Drama,War"
tt0008687,movie,1917,,59,"Adventure,Comedy,Drama"
tt0008754,movie,1917,,50,Drama
tt0008845,movie,1918,,50,"Comedy,Drama,Romance"
tt0008993,movie,1918,,60,Comedy
tt0009116,movie,1918,,50,Drama
tt0009145,movie,1918,,105,"Drama,Romance,War"
tt0009325,movie,1918,,54,"Action,Adventure,Romance"
tt0009608,movie,1918,,60,Drama
tt0009682,movie,1918,,73,"Action,Adventure"
tt0009694,movie,1918,,95,Comedy
tt0009717,movie,1918,,70,Drama
tt0009852,movie,1918,,,Drama
tt0009862,movie,1919,,300,Action
tt0009878,movie,1919,,50,"Crime,Drama,History"
tt0009905,movie,1919,,489,"Crime,Thriller"
tt0009955,movie,1919,,,
tt0009968,movie,1919,,90,"Drama,Romance"
tt0010000,movie,1919,,50,Comedy
tt0010137,movie,1919,,70,Drama
tt0010146,short,1919,,22,"Action,Comedy,Short"
tt0010219,movie,1919,,57,"Adventure,Comedy,Romance"
tt0010323,movie,1920,,76,"Horror,Mystery,Thriller"
tt0010600,movie,1919,,66,"Comedy,Fantasy,Sci-Fi"
tt0010791,movie,1919,,58,"Crime,Drama"
tt0010871,movie,1919,,57,Drama
tt0010969,movie,1921,,172,"Adventure,Fantasy,Mystery"
tt0011237,movie,1920,,76,"Fantasy,Horror"
tt0011302,movie,1920,,86,Drama
tt0011650,movie,1920,,300,Western
tt0011651,movie,1920,,50,"Crime,Western"
tt0011732,movie,1920,,70,Drama
tt0011756,movie,1920,,60,Western
tt0011841,movie,1920,,145,"Drama,Romance"
tt0011870,movie,1920,,79,"Drama,Romance"
tt0011904,movie,1921,,75,"Crime,Drama,Mystery"
tt0011948,movie,1921,,55,Comedy
tt0012017,movie,1921,,60,"Action,Adventure,Comedy"
tt0012225,movie,1921,,,Drama
tt0012249,movie,1921,,131,Drama
tt0012349,movie,1921,,68,"Comedy,Drama,Family"
tt0012364,movie,1921,,107,"Drama,Fantasy,Horror"
tt0012494,movie,1921,,97,"Drama,Fantasy,Horror"
tt0012538,movie,1920,,75,"Crime,Romance,Thriller"
tt0012675,movie,1921,,86,"Adventure,Drama,Romance"
tt0012709,movie,1921,,50,"Comedy,Drama,Romance"
tt0012740,movie,1920,,50,Drama
tt0012929,short,1922,,,"Short,Western"
tt0013025,short,1922,,18,"Comedy,Family,Short"
tt0013086,movie,1922,,242,"Crime,Mystery,Thriller"
tt0013122,movie,1922,,61,Drama
tt0013201,movie,1922,,60,"Comedy,Family"
tt0013284,movie,1922,,70,Western
tt0013367,movie,1922,,74,"Mystery,Sci-Fi"
tt0013427,movie,1922,,78,Documentary
tt0013442,movie,1922,,94,"Fantasy,Horror"
tt0013571,movie,1922,,72,"Biography,Drama,History"
tt0013626,short,1923,,38,"Drama,Short"
tt0013830,movie,1923,,128,Drama
tt0013891,movie,1923,,70,Drama
tt0014209,movie,1923,,60,Western
tt0014262,movie,1923,,57,"Drama,Romance"
tt0014308,movie,1924,,,Western
tt0014400,movie,1923,,50,Western
tt0014416,movie,1923,,99,"Comedy,Romance"
tt0014417,movie,1923,,417,Drama
tt0014424,movie,1923,,90,"Adventure,Drama,Romance"
tt0014451,movie,1922,,,"Adventure,Romance"
tt0014532,movie,1923,,136,"Biography,Drama,Fantasy"
tt0014538,movie,1923,,63,Comedy
tt0014586,movie,1924,,107,"Fantasy,Horror"
tt0014641,movie,1924,,60,Comedy
tt0014667,short,1924,,19,"Comedy,Short,War"
tt0014699,short,1924,,44,"Drama,Short,Sport"
tt0014797,movie,1924,,70,Comedy
tt0014972,movie,1924,,95,"Drama,Romance,Thriller"
tt0015016,movie,1924,,150,"Drama,History,Romance"
tt0015036,movie,1924,,136,Drama
tt0015039,movie,1924,,78,Documentary
tt0015052,movie,1924,,70,Western
tt0015064,movie,1924,,77,Drama
tt0015069,movie,1924,,,Western
tt0015109,movie,1924,,50,"Action,Romance,Western"
tt0015167,movie,1924,,94,"Comedy,Fantasy,Romance"
tt0015174,movie,1924,,129,"Adventure,Drama,Fantasy"
tt0015202,movie,1924,,92,"Crime,Horror,Mystery"
tt0015263,movie,1924,,70,"Comedy,Drama,Music"
tt0015284,movie,1924,,60,Drama
tt0015324,movie,1924,,45,"Action,Comedy,Romance"
tt0015361,movie,1925,,82,Drama
tt0015416,movie,1924,,,Western
tt0015532,movie,1926,,80,"Adventure,Animation,Family"
tt0015624,movie,1925,,151,"Drama,Romance,War"
tt0015635,short,1925,,20,"Comedy,Romance,Short"
tt0015648,movie,1925,,75,"Drama,History,Thriller"
tt0015685,movie,1925,,50,Western
tt0015692,movie,1925,,70,"Drama,Romance"
tt0015745,movie,1925,,70,Western
tt0015835,movie,1925,,70,"Comedy,Drama"
tt0015842,movie,1925,,125,Drama
tt0015864,movie,1925,,95,"Adventure,Comedy,Drama"
tt0015881,movie,1924,,140,"Drama,Thriller,Western"
tt0015916,short,1925,,21,"Comedy,Romance,Short"
tt0015944,movie,1925,,60,"Adventure,Comedy,Romance"
tt0016039,movie,1925,,110,"Adventure,Fantasy,Sci-Fi"
tt0016141,movie,1925,,,Western
tt0016142,movie,1925,,70,Drama
tt0016157,movie,1925,,80,"Adventure,Comedy,Crime"
tt0016174,movie,1925,,65,Drama
tt0016196,movie,1925,,,
tt0016220,movie,1925,,93,Horror
tt0016241,movie,1925,,74,"Comedy,Drama"
tt0016283,short,1925,,20,"Comedy,Short"
tt0016368,movie,1925,,60,Western
tt0016407,movie,1925,,200,"Action,Drama,Romance"
tt0016473,movie,1925,,86,"Crime,Drama,Romance"
tt0016491,movie,1925,,114,"Drama,Mystery,Romance"
tt0016526,movie,1925,,50,Western
tt0016544,movie,1925,,95,"Adventure,Comedy,Family"
tt0016618,movie,1926,,50,Western
tt0016641,movie,1925,,143,"Action,Adventure,Drama"
tt0016665,movie,1926,,,Western
tt0016804,movie,1926,,110,"Adventure,Romance"
tt0016811,movie,1926,,50,Western
tt0016847,movie,1926,,107,"Drama,Fantasy,Horror"
tt0016880,movie,1926,,70,"Action,Drama,Romance"
tt0016884,movie,1926,,112,"Drama,Music"
tt0016906,movie,1927,,80,"Comedy,Musical"
tt0016939,movie,1926,,53,Western
tt0016953,movie,1926,,100,Drama
tt0017009,movie,1927,,70,"Comedy,Drama"
tt0017048,movie,1926,,70,"Drama,Horror,Thriller"
tt0017064,movie,1926,,70,Drama
tt0017075,movie,1927,,92,"Crime,Drama,Mystery"
tt0017103,movie,1926,,83,"Drama,Fantasy,Horror"
tt0017114,movie,1926,,,Drama
tt0017123,movie,1926,,80,Drama
tt0017128,movie,1926,,89,Drama
tt0017136,movie,1927,,153,"Drama,Sci-Fi"
tt0017137,movie,1926,,168,Adventure
tt0017164,movie,1926,,70,Comedy
tt0017185,movie,1926,,84,"Drama,Romance,War"
tt0017224,movie,1926,,70,"Action,Comedy,Drama"
tt0017229,movie,1926,,80,"Adventure,Comedy,Crime"
tt0017321,movie,1926,,60,"Action,Adventure,Romance"
tt0017376,movie,1926,,68,Documentary
tt0017405,short,1927,,23,"Comedy,Short"
tt0017416,movie,1926,,68,"Adventure,Drama,Romance"
tt0017421,movie,1926,,77,"Drama,Romance"
tt0017429,movie,1926,,70,Comedy
tt0017492,movie,1926,,80,"Drama,Romance"
tt0017527,movie,1926,,,Western
tt0017552,movie,1926,,70,"Drama,Romance,War"
tt0017567,movie,1926,,89,"Drama,Romance,Western"
tt0017584,movie,1926,,70,Drama
tt0017668,movie,1927,,65,Documentary
tt0017683,movie,1927,,,"Drama,War"
tt0017726,movie,1927,,91,Drama
tt0017735,movie,1927,,87,"Drama,Romance"
tt0017739,movie,1927,,108,"Comedy,Horror,Mystery"
tt0017883,movie,1927,,70,"Comedy,Crime"
tt0017925,movie,1926,,67,"Action,Adventure,Comedy"
tt0017942,movie,1927,,50,Western
tt0017954,movie,1927,,112,"Adventure,Comedy"
tt0017970,movie,1927,,200,Western
tt0018033,movie,1927,,72,"Comedy,Romance"
tt0018037,movie,1927,,88,"Drama,Music,Musical"
tt0018054,movie,1927,,160,"Biography,Drama,Family"
tt0018076,movie,1927,,70,Western
tt0018087,movie,1927,,104,"Drama,Romance"
tt0018183,movie,1927,,80,"Comedy,Romance"
tt0018192,movie,1927,,330,"Biography,Drama,History"
tt0018199,movie,1927,,70,Western
tt0018217,movie,1927,,142,"Drama,History"
tt0018243,movie,1927,,60,Western
tt0018249,movie,1927,,60,Comedy
tt0018311,movie,1927,,74,"Comedy,Romance"
tt0018368,short,1927,,20,"Comedy,Short"
tt0018381,movie,1927,,70,"Action,Comedy"
tt0018455,movie,1927,,94,"Drama,Romance"
tt0018469,movie,1927,,60,Drama
tt0018524,movie,1927,,144,"Drama,History"
tt0018525,movie,1927,,67,"Adventure,Crime,Drama"
tt0018526,movie,1927,,80,"Crime,Drama,Film-Noir"
tt0018548,movie,1927,,50,"Adventure,Drama,Romance"
tt0018578,movie,1927,,144,"Action,Drama,Romance"
tt0018588,movie,1929,,76,Drama
tt0018589,movie,1927,,60,Drama
tt0018622,movie,1928,,73,Drama
tt0018638,movie,1928,,88,Drama
tt0018653,movie,1928,,50,"Action,Comedy,Romance"
tt0018662,movie,1928,,60,"Action,Drama,Romance"
tt0018674,movie,1928,,80,Drama
tt0018696,short,1928,,20,"Comedy,Short"
tt0018727,movie,1928,,67,Comedy
tt0018737,movie,1929,,109,"Crime,Drama,Romance"
tt0018742,movie,1928,,76,"Comedy,Drama,Family"
tt0018748,movie,1928,,65,Drama
tt0018753,movie,1928,,65,"Drama,Romance,Sport"
tt0018770,movie,1928,,63,"Drama,Fantasy,Horror"
tt0018773,movie,1928,,72,"Comedy,Family,Romance"
tt0018777,movie,1928,,60,Western
tt0018839,movie,1928,,76,"Crime,Drama,Film-Noir"
tt0018867,movie,1942,,60,"Adventure,Mystery,War"
tt0018876,movie,1928,,100,"Comedy,Drama,Romance"
tt0018880,movie,1928,,51,"Action,Adventure,Romance"
tt0018890,short,1928,,19,"Comedy,Short"
tt0018946,movie,1928,,65,Western
tt0018983,movie,1928,,60,Western
tt0018987,movie,1928,,70,Comedy
tt0018995,movie,1928,,70,"Comedy,Romance"
tt0018996,movie,1929,,95,Sci-Fi
tt0018999,movie,1928,,72,Drama
tt0019003,movie,1928,,50,Comedy
tt0019023,movie,1927,,60,"Action,Comedy,Crime"
tt0019041,movie,1928,,70,"Drama,Romance"
tt0019071,movie,1928,,88,"Drama,History,Romance"
tt0019076,movie,1928,,,Western
tt0019114,movie,1928,,60,"Comedy,Crime,Romance"
tt0019123,short,1927,,40,"Short,Western"
tt0019124,movie,1928,,,Crime
tt0019130,movie,1928,,110,"Drama,Horror,Mystery"
tt0019137,movie,1928,,54,Western
tt0019144,movie,1928,,60,Drama
tt0019182,movie,1927,,75,Drama
tt0019237,movie,1928,,85,Drama
tt0019254,movie,1928,,110,"Biography,Drama,History"
tt0019286,movie,1928,,127,"Drama,War"
tt0019301,movie,1928,,53,"Action,Adventure,Romance"
tt0019316,movie,1928,,80,Drama
tt0019319,movie,1928,,65,Drama
tt0019320,movie,1928,,70,"Action,Drama,Romance"
tt0019322,movie,1928,,60,Western
tt0019349,movie,1928,,70,Drama
tt0019388,movie,1928,,105,"Drama,Musical"
tt0019403,movie,1930,,55,Documentary
tt0019415,movie,1928,,150,"Romance,Thriller"
tt0019416,movie,1928,,56,"Drama,Romance"
tt0019422,short,1928,,8,"Animation,Comedy,Family"
tt0019458,movie,1928,,48,Western
tt0019474,movie,1928,,50,Western
tt0019483,movie,1928,,80,"Action,Drama,Romance"
tt0019489,movie,1928,,87,"Action,Adventure,Drama"
tt0019504,short,1928,,21,"Comedy,Family,Short"
tt0019534,movie,1928,,59,"Action,Drama,Romance"
tt0019553,movie,1927,,94,Drama
tt0019557,movie,1929,,86,"Drama,Music,Romance"
tt0019558,movie,1928,,113,Drama
tt0019562,movie,1928,,48,Western
tt0019568,movie,1928,,60,Comedy
tt0019582,movie,1928,,60,Western
tt0019606,movie,1928,,80,"Comedy,Drama"
tt0019607,short,1928,,20,"Comedy,Music,Short"
tt0019620,movie,1929,,215,"Action,Crime,Drama"
tt0019621,movie,1929,,63,"Crime,Drama,Romance"
tt0019628,movie,1929,,70,Drama
tt0019630,movie,1929,,91,"Action,Crime,Romance"
tt0019632,movie,1929,,59,Comedy
tt0019644,movie,1929,,80,"Drama,Musical,Romance"
tt0019647,movie,1929,,85,"Drama,Mystery"
tt0019657,movie,1929,,114,"Drama,History"
tt0019658,movie,1929,,90,Drama
tt0019684,movie,1929,,91,"Adventure,Crime,Mystery"
tt0019686,short,1929,,19,"Comedy,Short"
tt0019689,movie,1929,,65,"Action,Drama,Romance"
tt0019698,movie,1929,,66,Drama
tt0019700,movie,1929,,90,"Crime,Drama,Music"
tt0019702,movie,1929,,85,"Crime,Thriller"
tt0019725,movie,1929,,104,"Crime,Music,Romance"
tt0019726,movie,1929,,86,"Drama,Musical"
tt0019727,movie,1929,,62,"Comedy,Music,Romance"
tt0019729,movie,1929,,100,"Drama,Musical,Romance"
tt0019730,movie,1929,,73,"Comedy,Drama,Musical"
tt0019735,movie,1929,,90,"Crime,Drama,Mystery"
tt0019741,movie,1929,,60,Western
tt0019745,movie,1929,,82,"Crime,Mystery"
tt0019746,movie,1929,,92,"Adventure,Drama"
tt0019757,movie,1929,,60,"Mystery,Romance,Thriller"
tt0019758,movie,1929,,66,"Drama,Romance"
tt0019760,movie,1929,,68,"Documentary,Music"
tt0019762,movie,1929,,71,Drama
tt0019763,movie,1929,,74,Comedy
tt0019777,movie,1929,,96,"Adventure,Comedy,Musical"
tt0019783,movie,1929,,60,"Action,Crime,Drama"
tt0019784,movie,1929,,60,Adventure
tt0019792,movie,1929,,82,Drama
tt0019800,movie,1929,,75,Drama
tt0019801,movie,1929,,80,"Drama,Romance"
tt0019806,movie,1929,,66,Mystery
tt0019811,movie,1929,,62,Drama
tt0019813,movie,1929,,123,"Action,Musical,Romance"
tt0019819,movie,1929,,,Drama
